Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
0.032777778,118.3815394,3611.640184,0.0725,453.0860368,,0.031666667,336.3742476,10622.34466,0.039166667,384.9203602,,0.061666667,396.1096686,
0.033888889,119.734081,3533.136817,0.074722222,457.5941419,,0.031944444,331.3374617,10372.30315,0.04,385.9281579,,0.063888889,394.6513908,
0.035,120.2649646,3436.141847,0.076944444,460.1923876,,0.032222222,333.9357075,10363.52196,0.040555556,387.4128698,,0.066388889,404.2755838,
0.035833333,121.8289786,,0.078888889,462.5516256,,0.034166667,343.1358545,,0.041388889,389.7996432,,0.069166667,404.4870561,
0.036388889,122.9689465,,0.081111111,465.9450954,,0.034722222,339.4505089,,0.041944444,385.7155842,,0.071666667,407.2450075,
0.0375,122.9425125,,0.081666667,462.3401533,,0.035555556,345.999542,,0.042777778,390.0111155,,0.073055556,407.3243096,
0.038333333,124.6122626,,0.083888889,471.8046407,,0.037222222,350.8512896,,0.043888889,394.5720887,,0.074166667,413.4228627,
0.038888889,126.150944,,0.085833333,472.9985781,,0.038055556,349.4458799,,0.044722222,394.0940731,,0.074166667,399.5824405,
0.039166667,123.6320004,,0.088611111,477.0551017,,0.039166667,356.8958732,,0.045277778,394.9697007,,0.074166667,395.8177928,
0.040277778,127.1312063,,0.090833333,476.47135,,0.040277778,357.8772369,,0.046111111,396.9577607,,0.075,411.9645849,
0.041388889,127.34378,,0.092777778,478.5387121,,0.041111111,361.8544583,,0.046944444,397.7794187,,0.076111111,417.4265182,
0.042222222,128.4308799,,0.095833333,483.2054214,,0.041944444,363.2323326,,0.0475,398.2034648,,0.076388889,406.2107758,
0.043333333,130.86942,,0.098333333,487.5009527,,0.042777778,363.8953864,,0.048055556,399.0262242,,0.077222222,415.1454809,
0.044444444,130.1534981,,0.101111111,488.5880526,,0.043611111,361.8808924,,0.048611111,400.3776645,,0.078611111,417.4793863,
