Displ (mm) Run #5,Tensile Force (N) Run #5,Displ (mm) Run #6,Tensile Force (N) Run #6,Displ (mm) Run #7,Tensile Force (N) Run #7,Displ (mm) Run #8,Tensile Force (N) Run #8,Displ (mm) Run #9,Tensile Force (N) Run #9
2.41,1306.63,4.93,4614.36,2.43,3754.99,2.51,3773.53,4.07,3959.12
2.45,1312.41,5.02,4659.38,2.47,3750.9,2.54,3781.23,4.13,3971.64
2.49,1316.02,5.1,4666.12,2.47,3673.39,2.57,3769.19,4.21,3957.44
2.54,1318.91,5.16,4628.32,2.49,3682.05,2.61,3785.08,4.27,3977.66
2.58,1338.4,5.18,4584.51,2.54,3757.4,2.64,3779.3,4.32,3980.79
2.62,1345.14,5.18,4504.35,2.57,3762.45,2.67,3782.19,4.36,3953.1
2.67,1317.22,5.26,4719.32,2.63,3813.73,2.71,3774.73,4.37,3869.57
2.7,1331.42,5.32,4652.4,2.67,3797.36,2.72,3750.42,4.4,3942.03
2.75,1332.63,5.34,4603.77,2.71,3835.15,2.76,3784.36,4.43,3954.07
2.77,1336.48,5.36,4633.38,2.75,3845.26,2.79,3730.92,4.46,3977.9
2.8,1338.64,5.41,4719.56,2.79,3861.87,2.83,3735.01,4.53,3988.97
2.83,1344.18,5.44,4625.68,2.82,3893.89,2.85,3724.66,4.6,4039.28
2.86,1359.11,5.51,4650.47,2.82,3774.97,2.89,3698.42,4.72,4044.82
2.9,1359.59,5.51,4545.28,2.86,3816.86,2.93,3708.77,4.82,4037.36
2.93,1335.75,5.57,4747.24,2.86,3834.19,2.97,3671.94,4.91,4027.73
2.96,1332.87,5.63,4691.87,2.91,3930.48,3,3666.89,5,4022.19
2.99,1333.83,5.73,4642.77,2.95,3902.07,3.05,3631.26,5.03,3997.88
3.02,1336.96,5.8,4603.53,3.01,3935.53,3.08,3596.12,5.04,3938.42
3.06,1341.29,5.85,4605.7,3.06,3922.53,3.12,3573.49,5.09,4024.84
3.08,1342.74,5.89,4632.9,3.1,3959.12,3.17,3527.27,5.14,4030.86
3.09,1339.13,5.93,4448.02,3.15,3929.51,3.21,3485.14,5.19,4028.21
3.12,1341.05,5.93,4404.45,3.18,3981.51,3.24,3463.24,5.21,3949.97
3.15,1347.79,5.93,4388.81,3.24,3966.83,3.28,3407.63,5.21,3915.31
3.2,1356.46,6.1,11.8,3.27,4000.29,3.31,3365.51,5.25,4007.51
3.24,1363.44,6.16,2.17,3.32,3989.21,3.35,3330.12,5.29,3976.94
3.29,1367.77,6.16,1.2,3.35,3943.23,3.38,3284.62,5.38,4057.58
3.33,1364.64,6.16,1.44,3.38,4001.73,3.41,3239.13,5.5,4076.35
3.38,1361.75,6.16,1.44,3.42,4063.35,3.46,1127.05,5.61,4075.39
3.42,1363.68,6.16,2.17,3.47,4055.17,3.51,2.65,5.68,4042.41
3.46,1357.9,6.16,1.93,3.54,4070.09,3.51,1.93,5.81,4065.76
3.48,1352.61,6.16,1.93,3.59,4075.87,3.51,2.65,5.9,4073.95
3.52,1358.62,6.16,2.41,3.63,4043.13,3.51,1.93,5.95,4054.45
3.52,1335.75,6.16,2.17,3.69,4052.52,3.51,2.41,5.98,4047.95
3.56,1367.53,6.16,2.41,3.7,3952.14,3.53,2.65,6.02,4034.23
3.59,1356.22,6.16,2.17,3.7,3920.37,3.53,2.41,6.03,4023.15
3.62,1358.86,6.16,2.17,3.74,4095.85,3.53,2.65,6.06,4111.26
3.66,1362.48,6.16,2.41,3.77,4109.81,3.53,2.65,6.06,4011.84
3.69,1362.48,6.16,2.41,3.82,4099.46,3.53,2.41,6.06,3974.05
3.71,1363.2,6.16,1.93,3.85,4103.55,3.53,2.41,6.1,4048.43
3.74,1366.81,6.16,2.17,3.9,4106.2,3.53,2.41,6.1,3933.12
3.77,1371.86,6.16,2.17,3.95,4123.05,3.53,2.89,6.1,3915.55
3.8,1375.23,6.16,2.17,3.98,4118.24,3.53,2.41,6.2,4048.43
3.84,1376.68,6.16,1.69,4.03,4134.85,3.53,2.65,6.3,4050.6
3.88,1383.18,6.16,2.17,4.09,4150.74,3.53,2.41,6.38,4061.91
3.9,1356.46,6.16,1.93,4.11,4096.33,3.53,2.17,6.46,4046.5
3.93,1376.44,,,4.14,4084.3,3.53,2.65,6.52,3980.79
3.96,1388.95,,,4.16,4091.04,3.53,2.17,6.56,4004.62
3.99,1377.16,,,4.2,4187.57,3.53,2.41,6.57,4013.52
4.03,1380.77,,,4.23,4200.8,,,6.62,4027.73
4.07,1376.92,,,4.28,4196.71,,,6.64,4053.97
4.12,1371.14,,,4.32,4204.42,,,6.71,4049.15
4.17,1363.44,,,4.36,4147.12,,,6.77,4067.93
4.21,1357.66,,,4.38,4185.88,,,6.84,4027.25
4.26,1344.18,,,4.42,4173.36,,,6.9,4036.87
4.32,1330.7,,,4.45,4189.97,,,6.92,3942.99
4.35,1299.65,,,4.49,4193.58,,,7.01,3969.71
4.38,1315.54,,,4.53,4194.79,,,7.09,3939.62
4.41,1276.78,,,4.57,4184.44,,,7.2,3838.52
4.41,1271.48,,,4.61,4209.95,,,7.44,3.37
4.47,1267.87,,,4.65,4242.45,,,7.46,3.37
4.52,1242.6,,,4.68,4243.65,,,7.45,2.89
4.57,1213.95,,,4.69,4191.18,,,7.45,3.13
4.61,1191.32,,,4.71,4192.38,,,7.45,3.37
4.66,1161.47,,,4.8,4225.6,,,7.45,3.13
4.71,1117.66,,,4.86,4225.6,,,7.45,2.65
4.73,1100.81,,,4.89,4217.9,,,,
4.84,760.68,,,4.9,4204.17,,,,
4.91,3.37,,,4.93,4235.23,,,,
4.91,3.37,,,4.96,4263.15,,,,
4.91,2.89,,,4.99,4237.63,,,,
4.91,3.13,,,5.01,4207.79,,,,
4.91,3.37,,,5.02,4207.54,,,,
4.91,3.13,,,5.07,4247.02,,,,
4.91,2.65,,,5.11,4271.09,,,,
,,,,5.15,4272.06,,,,
,,,,5.2,4259.78,,,,
,,,,5.24,4289.39,,,,
,,,,5.29,4285.06,,,,
,,,,5.32,4250.39,,,,
,,,,5.35,4250.88,,,,
,,,,5.36,4271.09,,,,
,,,,5.4,4199.12,,,,
,,,,5.4,4162.53,,,,
,,,,5.44,4193.34,,,,
,,,,5.46,4266.28,,,,
,,,,5.49,4317.07,,,,
,,,,5.54,4293.72,,,,
,,,,5.58,4327.91,,,,
,,,,5.62,4338.26,,,,
